ID,Expiry,Election,Spot_0.9,Mean_0.9,Mean_0.2,Spot_0.1,Mean_0.1,Spot_0
178494,0,1,0.9,1.904280156,1.079649123,0.3,1.242253521,5
758349,100,1,99.8,33.7,50,50,50,50
577740,0,1,45.5,47.09130435,55.12,52.6,54.5,54
744692,0,0,4,16.09969789,16.64794521,20,15.09166667,7
613776,0,0,27.8,8.91459854,6.886666667,8,5.293333333,5
26000,100,1,79,84.35586957,86.76470588,87,87,87
400968,100,1,87,65.81878173,56.29198473,52.8,55.50763359,53
416549,0,1,47,42.26346749,49.1958042,50,48.87323944,40
654321,0,0,9.9,8.456521739,32.4,30,43.28571429,36.1
451787,0,0,2.9,3.004242424,5.904545455,9,4.611111111,5
41270,0,1,8,29.732,25.71818182,26,19.58,21
416526,100,1,65,58.94921875,59.06338028,60,59.15492958,40
11738,100,1,56.8,62.48961268,63.68253968,61,63.22222222,65
607639,0,0,5.2,12.11578947,10.61428571,11.5,12.22,12.5
317699,100,1,52.5,43.30113636,42.9137931,42,45.62068966,40
146549,100,0,99,94.73232323,89.75454545,90,88.91,81
749810,0,1,11.8,6.228901734,3.755263158,3.5,3.773684211,3
416643,0,1,47.1,62.45209302,66.86363636,65,64.36619718,40
175740,0,0,0.1,4.45647452,14.07330827,15.4,14.03984962,12
134331,0,1,47.5,63.37883212,61.3,59,59.73333333,50
439000,0,0,5.1,7.992060491,6.448717949,3.8,9.143103448,20
758581,0,1,4.5,38.02173913,64.8,62.5,62.5,65
400967,0,1,12,33.7955707,43.79272031,46.1,44.72615385,46
522995,0,0,34.5,25.56273885,12.85362319,15,11.86470588,0.1
579234,0,1,2.7,13.71666667,10.7,10.7,10.7,10.7
148944,100,1,59.9,52.8247191,46.17894737,47.9,47.12222222,50
26006,100,1,75,61.08478261,71.17647059,72,72,72
577743,0,1,73.2,62.25714286,56.625,58.4,56,52
693299,0,1,96,90.17984496,89.97857143,90,89.95714286,90
757516,100,1,79.9,51.05555556,39.85,39.8,39.9,40
664641,100,1,78,36.9253125,30,30,30,30
317627,100,1,41,67.90492424,64.84482759,70,61.4137931,49
25904,100,1,39,61.04369565,71.59803922,72,71.88235294,70
438995,0,0,12,14.83874539,13.83083333,8,19.18333333,20
26005,0,1,24,43.80195652,61.64705882,62,61.88235294,60
438993,0,0,23.9,12.08245283,14.77350427,14.5,18.75862069,20
756500,0,1,5.4,12.44444444,11.2375,8,10.3,13
41265,100,1,80,47.612,54,56,57.6,51
471490,0,1,15,10.04666667,17.82327586,15,20.67241379,33
609169,0,1,64,92.00769231,89,88,85,85
417861,100,0,34,42.46517028,47.17412587,50,49.01971831,45
755982,0,0,43,55.47777778,33.45,36.9,30,30
192721,0,0,0.1,1.141353383,1.14887218,0.8,0.989393939,1
26007,0,1,58.5,54.79804348,66.07843137,66,66.39215686,67
755808,100,1,75.8,55.42222222,24.95,25,24.95,25
191832,0,0,0.1,1.468034935,1.101968504,0.5,1.460629921,0.5
513222,0,0,3,31.9165109,29.83661972,25,23.31690141,20
758864,100,1,97.6,68.63055556,23.35,29.8,12.1,10.1
173055,100,1,64.9,53.46847743,51.16517241,50.8,51.16413793,52.5
664415,0,1,47,63.93882353,79.42121212,80,80,80
654322,100,0,94,87.01594203,52.94,50,42.97142857,50
743383,100,0,90,28.10283019,25,25,25,25
483502,100,1,8.9,7.580382775,14.18478261,10,19.60869565,27
177139,0,1,0.2,6.704136253,6.934671533,6.6,7.351470588,10
175737,0,0,0.1,9.061152882,10.64097744,10,5.736363636,5.5
177447,0,0,0.1,3.745050336,9.66,10,11.18106061,7.7
538012,0,1,15,21.59135802,9.583333333,10,8.944444444,0.5
92666,100,0,40,31.83359375,33.36428571,39,35.3,15
210836,0,0,0.1,0.512076853,1.447325103,2.2,1.616528926,2.5
